"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"4041";2018;"Prefeitura Municipal de Jacaraci - BA";2917409;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";41846484,08;15435;"TotalReceitas"
"4042";2018;"Prefeitura Municipal de Jacaraci - BA";2917409;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3480422,74;15435;"TotalReceitas"
"4043";2018;"Prefeitura Municipal de Jacobina - BA";2917508;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";219528952,63;83435;"TotalReceitas"
"4044";2018;"Prefeitura Municipal de Jacobina - BA";2917508;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";-14569701,5;83435;"TotalReceitas"
"4045";2018;"Prefeitura Municipal de Jaguaquara - BA";2917607;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";102296611,7;55751;"TotalReceitas"
"4046";2018;"Prefeitura Municipal de Jaguaquara - BA";2917607;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - Transferências Constitucionais";"TotalReceitas";"Total Receitas";8342389,91;55751;"TotalReceitas"
"4047";2018;"Prefeitura Municipal de Jaguarari - BA";2917706;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";76128903,52;34304;"TotalReceitas"
"4048";2018;"Prefeitura Municipal de Jaguarari - BA";2917706;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";7307302,25;34304;"TotalReceitas"
"4049";2018;"Prefeitura Municipal de Jaguaripe - BA";2917805;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";65215035,89;18849;"TotalReceitas"
"4050";2018;"Prefeitura Municipal de Jaguaripe - BA";2917805;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";-4053827,89;18849;"TotalReceitas"
"4051";2018;"Prefeitura Municipal de Jandaíra - BA";2917904;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";36068350,46;11092;"TotalReceitas"
"4052";2018;"Prefeitura Municipal de Jandaíra - BA";2917904;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";3162591,97;11092;"TotalReceitas"
"4053";2018;"Prefeitura Municipal de Jequié - BA";2918001;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";405863667,92;161880;"TotalReceitas"
"4054";2018;"Prefeitura Municipal de Jequié - BA";2918001;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";33613864,97;161880;"TotalReceitas"
"4055";2018;"Prefeitura Municipal de Jeremoabo - BA";2918100;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";89683738,97;41387;"TotalReceitas"
"4056";2018;"Prefeitura Municipal de Jeremoabo - BA";2918100;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";6770973,22;41387;"TotalReceitas"
